iter	MultiClass
202	0.194467248
203	0.1934137984
204	0.1923706724
205	0.1913189521
206	0.1904193183
207	0.1894042426
208	0.1882593785
209	0.187246998
210	0.186125387
211	0.1850158905
212	0.1840509396
213	0.1829900525
214	0.1819409349
215	0.1809075583
216	0.1798497771
217	0.1789159285
218	0.1779910477
219	0.1770750108
220	0.1761799116
221	0.175171048
222	0.1741726753
223	0.1733037353
224	0.1723244085
225	0.1715763829
226	0.1707305325
227	0.1697769069
228	0.169048371
229	0.1681352165
230	0.1672319343
231	0.1663117879
232	0.165400884
233	0.1645249235
234	0.1637279969
235	0.1631474409
236	0.1622918622
237	0.1614187151
238	0.1606486481
239	0.1599890725
240	0.1592314359
241	0.1585823318
242	0.1577445404
243	0.1569148738
244	0.1562824488
245	0.1556546833
246	0.154942257
247	0.1541616163
248	0.1533889249
249	0.1525989126
250	0.151816397
251	0.1510646982
252	0.1502960507
253	0.1495593746
254	0.1489829632
255	0.1483236253
256	0.1476620362
257	0.1470131858
258	0.1463091673
259	0.1455820156
260	0.1448865212
261	0.1442036228
262	0.1435215706
263	0.1429842759
264	0.1424506874
265	0.1419207691
266	0.1413158726
267	0.1407936285
268	0.1399081469
269	0.1392620331
270	0.138595793
271	0.1379354907
272	0.1372810497
273	0.1367850616
274	0.1361405365
275	0.1355016744
276	0.1349457676
277	0.1343344041
278	0.1338608048
279	0.133386883
280	0.1327713729
281	0.1322301111
282	0.1317713809
283	0.1313109559
284	0.1307807122
285	0.1301866952
286	0.1296649226
287	0.1292236879
288	0.1286698558
289	0.1281624944
290	0.1274150738
291	0.1269819552
292	0.1264189383
293	0.1259279552
294	0.1255108294
295	0.1249842517
296	0.1244370783
297	0.1239567327
298	0.1234433646
299	0.1229357796
300	0.1224240455
301	0.1219265101
302	0.1214658335
303	0.1209451231
304	0.1205621908
305	0.1200484098
306	0.1195387626
307	0.1190332008
308	0.1185316769
309	0.1180943163
310	0.1176600477
311	0.117228839
312	0.1165905508
313	0.1162224669
314	0.1157985166
315	0.1151763757
316	0.1147619611
317	0.1144119875
318	0.1140563167
319	0.1137112501
320	0.1133597034
321	0.1130102026
322	0.1125547198
323	0.1121027146
324	0.1117602653
325	0.1113755538
326	0.111037218
327	0.1105963463
328	0.1101587942
329	0.1097245255
330	0.1093131271
331	0.108884756
332	0.1085679636
333	0.1081448522
334	0.1077733621
335	0.1074066655
336	0.1070059363
337	0.1066917612
338	0.1063318792
339	0.1059388899
340	0.1055546036
341	0.1052549758
342	0.104854666
343	0.1044572592
344	0.1041109549
345	0.1038125189
346	0.1034301615
347	0.103042926
348	0.1026668038
349	0.1023757916
350	0.1020398958
351	0.1016624798
352	0.1013310371
353	0.1009710742
354	0.1006460258
355	0.1002780755
356	0.09991269485
357	0.09963598435
358	0.09929190072
359	0.09901850173
360	0.09875301966
361	0.0983974552
362	0.09806237546
363	0.09779537267
364	0.09748684989
365	0.09715050542
366	0.0968476478
367	0.09650470516
368	0.09624544488
369	0.0959460922
370	0.09564855678
371	0.09531353427
372	0.09506020004
373	0.09480815033
374	0.09447857329
375	0.09422938887
376	0.09394323444
377	0.09365877335
378	0.09333664857
379	0.09291543808
380	0.0925984118
381	0.09236288429
382	0.09195078636
383	0.09164942114
384	0.09134049014
385	0.09110625546
386	0.09083781204
387	0.09060600848
388	0.09034037403
389	0.09004892731
390	0.08978445934
391	0.08955772945
392	0.08927439787
393	0.08897992986
394	0.08869703672
395	0.088313849
396	0.08802547664
397	0.08773891732
398	0.08745415424
399	0.08723820668
400	0.08695649662
401	0.08667653875
402	0.08640915633
403	0.08613236468
404	0.08586570277
405	0.0856241951
406	0.08535212766
407	0.08508172725
408	0.08481297881
409	0.08457678712
410	0.08437641765
411	0.08411178591
412	0.08376630446
413	0.08350550528
414	0.08324627227
415	0.08301836187
416	0.08268257136
417	0.08245859331
418	0.08220567962
419	0.08196010855
420	0.08171001657
421	0.08149100775
422	0.0812731508
423	0.08105670864
424	0.08084109129
425	0.0806043309
426	0.08036193046
427	0.08014857665
428	0.07990879391
429	0.07967748201
430	0.07944024312
431	0.07923282364
432	0.07899816705
433	0.07876485376
434	0.07853807611
435	0.07831270967
436	0.07813694262
437	0.07791556814
438	0.0776879734
439	0.07748786109
440	0.07726265779
441	0.07703872196
442	0.07684255361
443	0.07667297431
444	0.07647860047
445	0.07625895084
446	0.07609315148
447	0.07587554107
448	0.07565913688
449	0.07544392904
450	0.07522990774
451	0.0750669451
452	0.07485494832
453	0.07464896228
454	0.07444420556
455	0.07424191369
456	0.07396891604
457	0.07381109297
458	0.07360565842
459	0.07333778642
460	0.07313954913
461	0.07294247536
462	0.07274163249
463	0.07256487609
464	0.07241262347
465	0.07221454556
466	0.0720409541
467	0.07184482735
468	0.0716954077
469	0.07152421057
470	0.07137606896
471	0.07122852501
472	0.07103653745
473	0.07085071389
474	0.0706605761
475	0.07054174132
476	0.07035316002
477	0.07018725937
478	0.0700060823
479	0.0698201376
480	0.06968010516
481	0.06949576306
482	0.06931237083
483	0.06915116144
484	0.06899069574
485	0.06883096856
486	0.06865092717
487	0.06847598419
488	0.06830501654
489	0.06814834319
490	0.06797170549
491	0.06783723069
492	0.06766212796
493	0.06750828163
494	0.06733481457
495	0.06720408758
496	0.06697805514
497	0.06681080287
498	0.06664446417
499	0.06651515682
500	0.06636622787
501	0.06619822255
502	0.06603632222
503	0.0659090662
504	0.06574317569
505	0.06561699266
506	0.06545640583
507	0.06529273345
508	0.06516815688
509	0.06500585939
510	0.06486331746
511	0.06470614273
512	0.06454600683
513	0.06442413747
514	0.06426906268
515	0.06412957656
516	0.06400923377
517	0.06385231716
518	0.06369615283
519	0.06355901751
520	0.06340789016
521	0.06327194865
522	0.06311845989
523	0.06298367581
524	0.06283154004
525	0.06271578204
526	0.062564883
527	0.062418192
528	0.06228626754
529	0.0621419253
530	0.06199977689
531	0.06185209619
532	0.06172306832
533	0.06157669036
534	0.06143099219
535	0.06128596912
536	0.06117553871
537	0.06106549913
538	0.06093896456
539	0.06079614558
540	0.06065713709
541	0.06051882748
542	0.06039443851
543	0.06028712187
544	0.06018016796
545	0.0600735869
546	0.05993891552
547	0.05975598608
548	0.05962169816
549	0.05948906289
550	0.05938483435
551	0.0592809648
552	0.05916131823
553	0.05902613071
554	0.05889154994
555	0.05876107417
556	0.0586715489
557	0.05853848898
558	0.05840602196
559	0.05827414391
560	0.05815838341
561	0.05802759169
562	0.0578973779
563	0.05776773822
564	0.05764177205
565	0.05754358511
566	0.05743058544
567	0.05730298053
568	0.05717593271
569	0.05704943833
570	0.05688350371
571	0.05675832847
572	0.05663369421
573	0.05650959745
574	0.05640049652
575	0.05627739172
576	0.0561571966
577	0.05606344662
578	0.05594169751
579	0.05583467813
580	0.05574222623
581	0.05562181527
582	0.05553003831
583	0.05543856029
584	0.05531939721
585	0.05520073771
586	0.05511028921
587	0.05502013337
588	0.05491647591
589	0.05482693614
590	0.0547102802
591	0.05459411247
592	0.05448071868
593	0.05439254275
594	0.05429115616
595	0.05417666693
596	0.05408943359
597	0.05397809742
598	0.05386484753
599	0.05375443707
600	0.05366853004
601	0.05355896853
602	0.05344735008
603	0.05336239565
604	0.05326466474
605	0.05315422599
606	0.0530442384
607	0.05296050338
608	0.05286420158
609	0.05278101956
610	0.0526980964
611	0.052602609
612	0.0524602997
613	0.05235532201
614	0.05224850697
615	0.05215459668
616	0.05204857959
617	0.05194518293
618	0.05186474288
619	0.05178456534
620	0.05164645936
621	0.05154463722
622	0.05145317195
623	0.05134984157
624	0.05125905682
625	0.05116853699
626	0.05109007339
627	0.05100012222
628	0.05091051697
629	0.05082122873
630	0.05068802983
631	0.05058767648
632	0.05049941664
633	0.05039979166
634	0.05031217643
635	0.05021327197
636	0.05012632383
637	0.05003248187
638	0.04993645112
639	0.04987431904
640	0.04974619424
641	0.04966078317
642	0.04957566748
643	0.04948116925
644	0.04939660396
645	0.04930294593
646	0.04920779445
647	0.04911300562
648	0.04901857738
649	0.04894657126
650	0.04885451786
651	0.04878299171
652	0.04869170805
653	0.04862089796
654	0.04855006493
655	0.04845761989
656	0.04836745108
657	0.04827765609
658	0.04818617697
659	0.04811689708
660	0.04803727661
661	0.04795734374
662	0.04788837885
663	0.04779831254
664	0.04772941395
665	0.04763991087
666	0.04756126811
667	0.04748289714
668	0.04740475522
669	0.04733731981
670	0.04724923572
671	0.04716147613
672	0.04707403924
673	0.04698876326
674	0.04691219464
675	0.04683586326
676	0.04675978226
677	0.04667589046
678	0.04661013234
679	0.04653475484
680	0.04642180755
681	0.04634698406
682	0.04626425971
683	0.04619992252
684	0.04612582159
685	0.04604201279
686	0.04596063695
687	0.04589712639
688	0.04581408874
689	0.04575096882
690	0.04568802185
691	0.04562524712
692	0.04555292762
693	0.04549051587
694	0.0454282742
695	0.04534684792
696	0.04526571119
697	0.04518707602
698	0.04512608099
699	0.04504763042
700	0.044976965
701	0.04491584203
702	0.04483611434
703	0.04476610449
704	0.04469025416
705	0.04461374827
706	0.0445443942
707	0.0444752588
708	0.04439955924
709	0.04433085035
710	0.04427167794
711	0.04421327151
712	0.04414518535
713	0.04406803018
714	0.04399114315
715	0.04393963015
716	0.04386318239
717	0.04380521236
718	0.04373117955
719	0.04367336811
720	0.04360680762
721	0.04354951007
722	0.04347433667
723	0.04339942145
724	0.04334325338
725	0.04328662801
726	0.04321232253
727	0.04313827091
728	0.04308215831
729	0.0430085401
730	0.04293517227
731	0.0428795656
732	0.04281533266
733	0.04276064638
734	0.04268808187
735	0.04262440166
736	0.04256095755
737	0.04249770461
738	0.04242786765
739	0.04237353997
740	0.04231082913
741	0.04223972728
742	0.04216886341
743	0.04209823633
744	0.04204471487
745	0.04198295407
746	0.0418896028
747	0.04181991271
748	0.04175045348
749	0.04168944221
750	0.04163689812
751	0.04157629947
752	0.04148488456
753	0.04142472599
754	0.04135859091
755	0.0412987947
756	0.04123101336
757	0.04116345356
758	0.04109611421
759	0.04103706128
760	0.04097012867
761	0.04091980597
762	0.04085323484
763	0.04080269576
764	0.04073649526
765	0.04067197462
766	0.04060617803
767	0.0405405935
768	0.04048293128
769	0.0404191895
770	0.04033268873
771	0.04026797997
772	0.040203478
773	0.04015446437
774	0.04009031621
775	0.04002813885
776	0.03996576089
777	0.03991732259
778	0.0398694945
779	0.03981381777
780	0.03975212568
781	0.03970420394
782	0.03964138369
783	0.03957876165
784	0.03952387455
785	0.0394689583
786	0.03940687085
787	0.03934497818
788	0.03928327935
789	0.03922177346
790	0.03917463087
791	0.03911344783
792	0.03905245537
793	0.03899344572
794	0.03893995636
795	0.03887947402
796	0.03881917909
797	0.03876630966
798	0.03870636055
799	0.0386479043
800	0.03858830445
801	0.03854305288
802	0.03848509545
803	0.03844008676
804	0.03838806206
805	0.03834289703
806	0.03829867753
807	0.03824008404
808	0.03819564185
809	0.03814425912
810	0.03808612632
811	0.03803503747
812	0.03797723358
813	0.03792654913
814	0.03786907047
815	0.03781176576
816	0.0377546342
817	0.03770441164
818	0.03764760056
819	0.03759096041
820	0.03753611679
821	0.03747978857
822	0.0374303907
823	0.03738774608
824	0.0373384612
825	0.03728271088
826	0.03722712682
827	0.03717170828
828	0.03711764153
829	0.03706905359
830	0.03701408739
831	0.03695928399
832	0.03690464268
833	0.03685016273
834	0.03680878199
835	0.03676098738
836	0.0367069212
837	0.03665939052
838	0.03660561969
839	0.0365520064
840	0.03651126912
841	0.03645792549
842	0.03641110085
843	0.03635911025
844	0.03631245307
845	0.03627182669
846	0.03621914797
847	0.03617284822
848	0.03613293554
849	0.03609339785
850	0.03604746881
851	0.03600783263
852	0.03595733408
853	0.0359055137
854	0.0358661874
855	0.0358208248
856	0.03577549062
857	0.0357241815
858	0.03567916868
859	0.03562813251
860	0.03557724234
861	0.03552756632
862	0.03547695081
863	0.03543887008
864	0.03539446733
865	0.0353502616
866	0.03530013209
867	0.03525014479
868	0.03521256321
869	0.03516870648
870	0.03510245369
871	0.0350588718
872	0.03502090336
873	0.03497752547
874	0.03492842996
875	0.03487947232
876	0.03483065196
877	0.03478773956
878	0.0347503546
879	0.03470188131
880	0.03465928503
881	0.03461233468
882	0.03456422564
883	0.03452215529
884	0.03447526879
885	0.03443320912
886	0.03439660291
887	0.03436042661
888	0.03431298862
889	0.03426668288
890	0.03421949261
891	0.03417243246
892	0.03413109651
893	0.03408526981
894	0.03403856529
895	0.03400311966
896	0.03395764215
897	0.03391230239
898	0.03386604471
899	0.03382123495
900	0.03378071521
901	0.03373586523
902	0.03369098947
903	0.03365078137
904	0.03361641559
905	0.03357092516
906	0.03353099774
907	0.03348573627
908	0.03344059725
909	0.03339652243
910	0.03336237071
911	0.03330250011
912	0.0332685264
913	0.03322397905
914	0.03318485724
915	0.03314053175
916	0.03309632488
917	0.03305749135
918	0.03301875105
919	0.03298533553
920	0.0329415336
921	0.03291052494
922	0.03287732732
923	0.0328337973
924	0.03280075047
925	0.03275741894
926	0.0327245219
927	0.03268653407
928	0.03262907702
929	0.03259131108
930	0.03255363429
931	0.03252112646
932	0.03248361156
933	0.0324463886
934	0.03240398534
935	0.0323717653
936	0.03233459078
937	0.03229747712
938	0.03225626458
939	0.03221955897
940	0.03218769778
941	0.03214692738
942	0.03210527074
943	0.03204984436
944	0.03200844987
945	0.03196716254
946	0.03192598194
947	0.03188566531
948	0.03184468598
949	0.03180381221
950	0.03176790207
951	0.03172797612
952	0.03169704865
953	0.03165653893
954	0.031616133
955	0.03158060871
956	0.03154039502
957	0.03150114001
958	0.03146586557
959	0.03143067205
960	0.03140030941
961	0.03134728116
962	0.03131706774
963	0.03127750884
964	0.03123876392
965	0.03120012819
966	0.03116084818
967	0.03112166735
968	0.03109187946
969	0.03106214898
970	0.031027836
971	0.03098898049
972	0.03095104287
973	0.03091236723
974	0.03087837535
975	0.03083987994
976	0.03081061974
977	0.03077228991
978	0.03073405573
979	0.03070069431
980	0.0306633352
981	0.03063439977
982	0.03059649878
983	0.03055869187
984	0.03052546509
985	0.03048783224
986	0.03045029246
987	0.03041729949
988	0.03038068155
989	0.03035237454
990	0.03031599195
991	0.03027884155
992	0.03025061652
993	0.03021805071
994	0.0301811355
995	0.03014431082
996	0.03012136651
997	0.03008539184
998	0.03004951498
999	0.03001299048
0226546121
996	0.02262819833
997	0.02259707789
998	0.02257911259
999	0.02254812342
